,SNname,lcvquality,image subtraction needed,Type,PAIRITEL,P13 UV data,RA,DEC,radeg,decdeg,hostgal,separation ,inclination from leida,,,v_z,z,z_ref,distanced11,distance Mpc,MaxVdate,MaxVJD,"CfA photometric quality (1best, 3 worst)",CfA VJD bootstrap,CfA VJD bootstrap error,dVJD CfA bootstrap,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,MaxVMag,max_ref,D11Vmaxdate,D11Vmaxdateerr,D11Vmax,D11Vmaxerr,D11Rmaxdate,D11Rmaxdateerr,D11Rmax,D11Rmaxerr,cfaVmax,cfaVmaxerr,cfaUmax,cfaUmaxerr,cfaBmax,cfaBmaxerr,cfaRmax,cfaRmaxerr,cfaImax,cfaImaxerr,cfaJmax,cfaJmaxerr,cfaHmax,cfaHmaxerr,cfaKmax,cfaKmaxerr,CfA dm15,CfA dm15 linear,earliestV,inclination,inclination error,inclination/E(B-V) ref,axis ratio sdss,axis ratio,inclination from axes sdss,inclination from axes,E(B-V),E(B-V) SF2011,DFS E(B-V),E(b-v)host,E(b-v)hosterr,my E(B-V)host,v1 Fe II 5018 date,v1 Fe II 5018 ,v1 Fe II 5018 error,v2 FeII 5018 date,v2 Fe II 5018,v2 Fe II 5018 error,v1 Fe II 5169 date,v1 Fe II 5169 ,v1 Fe II 5169 error,v2 Fe II 5169 date,v2 Fe II 5169,v2 Fe II 5169 error,Fe II 5169 new,Fe II 5169 at maximum (linear interpolation),Fe II 5018 at maximum (linear interpolation),Dm15 (with Lyman BC correction),comment
,sn2004eu,0,?,Ic,0,0,2:20:34,+41:34:18.5,35.1416666667,41.5718055556,MCG+07-5-39,-,--,1.083,0.715,6486,0.021636,SN,--,94.2564007802,<0.0,<0.0,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<0.0,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,0.660203139427516,--,53.048795733287,--,0.0466,0.0542,--,--,0.241168843698797,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;from NED: z=0.021665
*=,sn2004fe,2,Y,Ic,0,0,0:30:11,+02:05:23.5,7.54583333333,2.08986111111,NGC132,-,--,1.41,0.987,5361,0.017882,NED,72,77.6899508385,20041108.5,2453318,2,2453319.34,0.46,-1.33999999985099,<0000000,<0000000,53321.52,0.68,<0000000,<0000000,16.91,D11,,,,,,,,,17.09,0.02,-,-,-,-,17.01,0.04,17.09,0.03,-,-,-,-,-,-,-1.704,-1000,--,43,"(+4,-5)",D11/D11,0.661,0.7,52.9849831915721,49.7930408955037,0.025,0.021,0.0244,0.29,0.11,0.226367628727912,10.5,-10002,1822,23.5,-10590.6,203.2,0.5,-11174.2,1913.6,1.5,-8937.2,1727.3,-9337.5713,-11279.4,-,,;maxdate also agree with our sparse data 
,sn2004ff,0,?,IIb,0,0,4:58:46,-21:34:12,74.6916666667,-21.57,ESO552-G40,-,--,1.073,0.558,6664,0.022229,NED,92,96.8816877998,2004,2453316,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,17.18,D11,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,66,"(+4,-5) ",D11/D11,--,0.520037278657968,--,63.6652059414852,0.032,0.0281,0.0327,0.27,0.15,0.289432849295002,-3.5,-10857.8,1318.8,-,-,-,-3,-10130.6,2251.57,-,-,-,-9659.5439,-,-,,;in R        2453316.0 1.0  Rmag@max:  17.18  +- 0.2
,sn2004ge,0,?,Ic,0,0,6:50:00,+25:38:02.0,102.5,25.6338888889,UGC3555,-,--,1.427,1.255,4644,0.015491,NED,67,67.186262594,2004,2453341.5,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,17.09,D11,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,28,"(+12,-28)",D11/D11,--,0.879467414155571,--,32.0640343814987,0.087,0.0754,0.0877,0.88,0.15,0.145768551184138,6,-10780.2,1948.5,-,-,-,6,-8032.2,1871,-,-,-,,-,-,,;RMax 2453341.5 +- 1.0 Rmag@max 17.09  +- 0.2
*@NIR,sn2004gk,2,?,Ic,Y,0,12:25:33,+12:15:39.9,186.3875,12.2610833333,IC3311,-,--,1.633,0.392,-122,-0.000407,NED,17,2.6,<20041128,<2453338.5,2,<2453339.03,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<14.0,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,16.39,0.12,-,-,-,-,-0.526,-0.616,2453339.031,90,"(+0,-0)",D11/D11,0.141,0.240048989589712,85,85.2154075817785,0.03,0.0247,0.0287,0.03,>,0.387403729486054,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,";D11nomax ;hostgal ex.;0.100  from tully fisher: mu=31; from LEDA m_B and mu --> M_B=-17.6 mag (dwarf? classification is edge-on Spiral of Sc class)  --BIG PROBLEM FOR DATE OF MAX: if similar to 94I, then date of Vmax was on ~Nov 17"
*= ,sn2004gq,2,YN,Ib,Y,0,5:12:04,-15:40:54,78.0166666667,-15.6816666667,NGC1832,-,71.8,1.94,1.707,1859,0.0062,SN,26,26.7260551135,20041220.51,2453361,2,<2453353.77,--,#VALUE!,53353.68,1.87,<0000000,<0000000,<0000000,<0000000,15.32,D11,,,,,,,,,-,-,15.67,0.09,16.12,0.02,-,-,15.5,0.04,,-,,-,-,-,-0.563,-0.432,--,50,"(+3,-4)",D11/D11,--,0.879896907216495,--,32.0108958654084,0.073,0.0627,0.0729,0.18,0.11,0.145526974456444,-,-,-,-,-,-,-,-,-,-,-,-,-12835.598,-,-,,;NED: 1939.  0.006468 ;mu_virgo=31.96 
*=NIR DM,sn2004gt,2,Y,Ic,Y,0,12:01:50,-18:52:12,180.458333333,-18.87,NGC4038,-,51.9,5.2,3.1,1642,0.005477,NED**,23,23.6013560755,20041222.5,2453362,2,<2453385.97,--,#VALUE!,53388.52,1.41,<0000000,<0000000,<0000000,<0000000,15.41,S12,,,,,,,,,-,-,-,-,18.07,0.05,-,-,-,-,,-,,-,15.62,0.28,-0.527,-0.382,--,56,"(+2,-2)",D11/D11,--,0.596153846153846,--,58.0289971036955,0.046,0.0398,0.0463,0.046,>,0.263809685762907,-,-,-,-,-,-,16.5,-6132.8,1332.8,18.5,-6162.4,1351.8,,-,-,,;D11nomax; Stritzinger sent me the *spline fit data*
*=,sn2004gv,3,Y,Ib,0,0,2:13:37,-0:43:05,33.4041666667,-0.718055555556,NGC856,-,--,1.063,0.829,5974,0.019927,NED,79,86.7032040016,20041226.7,2453366.2,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,17.25,S12,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,46,"(+6,-7)",D11/D11,--,0.779868297271872,--,42.707369605434,0.033,0.0286,0.0333,0.033,>,0.194154962479136,13.3,-7582.7,1387.1,15.3,-7503.1,1878.9,13.3,-6421.8,1722.2,15.3,-7148.4,1811.2,,-,-,,";D11nomax, http://csp1.lco.cl/~cspuser1/images/OPTICAL_LIGHT_CURVES/SN04gv.html"
,sn2005ar,0,Y,Ib,0,0,11:15:19,-3:46:18,168.829166667,-3.77166666667,CGCG011-033,-,--,0.617,0.321,7629,0.0254487,SN,--,111.175465378,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,--,--,--,--,0.520259319286872,--,63.6490693423897,--,0.0394,0.0458,--,--,0.289359489572292,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;from NED: 7584   0.025298    NED 
*=NIR DM,sn2005az,1,Y,Ic,Y,0,13:05:46,+27:44:08.4,196.441666667,27.7356666667,NGC4961,-,38.7,1.177,0.706,2622,0.00875,SN,39,37.774282659,20050411.7,2453473.2,1,2453473.86,0.75,-0.65999999968335,<0000000,<0000000,53476.1,0.54,<0000000,<0000000,16.4,CfA,,,,,,,,,16.4,0.05,15.99,0.04,-,-,16.06,0.03,15.97,0.04,,-,,-,-,-,-0.212,-0.188,--,47,"(+4,-5)",D11/D11,0.626,0.59983007646559,55.7422395267747,57.7501323426082,0.011,0.0097,0.0113,0.43,0.11,0.262541919151995,-0.7,-7901.9,1900.8,1.3,-8323.33,1612,-0.7,-8323,1780.1,1.3,-8077.8,1548.2,-7159.9473,-8237.18,-8049.42,," ;dm15=0.36 ; D11noVmax, [v=2535. NED]  mu_virgo=32.94  A_V=0.037, **GLC ;fitcfalc,'sn05az.df.k20060129.Ic.i',band='V',/shooter,jdmax=520"
*= ,sn2005bf,1,Y,Ib,Y,0,10:23:57,-3:11:28,155.9875,-3.19111111111,MCG+00-27-00,-,--,2.107,0.59,5430,0.018112,SN,--,78.7023079579,20050415.95,2453476.5,1,2453498.96,0.33,-22.4599999999627,53497.73,0.14,53499.93,0.38,<0000000,<0000000,17.4,"CfA,T05",,,,,,,,,16.43,0.02,16.42,0.02,16.71,0.02,16.36,0.02,16.36,0.02,15.9,0.01,15.81,0.07,15.57,0.03,-0.536,-0.932,--,--,--,--,0.543,0.280018984337921,61.9885365895417,81.4637361438609,--,0.0385,0.0448,--,--,0.370347993345136,14.1,-8284.91,1495.5,16.1,-8523.2,1190.7,14.1,-7802.2,1637.1,16.1,-8032.2,1209.2,-7225.3071,-,-,0.990725295961,; /T05    ;for 2nd Vband max: 2453497.5 (20050507.0     ) 16.5- see also Tominaga et al 2005 but our photometry is more recent & template subtraction
,sn2005da,0,?,Ic-bl,0,0,18:37:46,+17:32:35,279.441666667,17.5430555556,UGC11301,-,90,2.267,0.363,4496,0.014997,NED,--,65.0207655115,<00000000,<000000,,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<00.0,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,--,--,--,--,0.160123511248346,--,--,--,0.2483,0.2888,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;3 spec but no LC - check KAIT
*@NIR,sn2005ek,4,N,Ic-pec,Y,0,3:05:48,36:46:10,46.45,36.7694,UCG2526,-,--,--,--,4964,0.016551,,--,,<00000000,<000000,,<0000000,,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<00.0,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,,,2453640.8,--,--,--,--,--,--,--,--,0.1778,0.279,--,--,--,,,,,,,,,,,,,,,,,;Drout et al. 2013: 05ek is potentially a new kind of fast transient whose spectrum looks like a SN Ic
*=,sn2005hg,1,N,Ib,Y,0,1:55:41,+46:47:47.4,28.9208333333,46.7965,UGC1394,-,--,1.633,1.111,6388,0.021308,NED,86,92.8052824401,20051107.7,2453683.8,1,2453684.44,0.27,-0.640000000130385,53681.51,0.17,53686.44,0.49,<0000000,<0000000,17.61,CfA,,,,,,,,,17.61,0.03,-,-,18.14,0.02,17.45,0.04,17.33,0.03,16.54,0.03,16.55,0.06,16.37,0.08,-0.499,-0.8,--,60,"(+3,-4)",D11/D11,--,0.680342927127985,--,51.4194362248724,0.105,0.0901,0.1047,0.58,0.13,0.233761498382428,-0.3,-9202.5,1258.2,-1.3,-9715.3,1454,-0.3,-8560.9,2238.9,-1.3,-8613.1,2344,-8552.1367,-,-,1.36548831139,; dm15=0.71  **GLC d10=2453684.0+-0.5
*@ ,sn2005kf,2,N,Ic,0,0,7:47:26,+26:55:32.4,116.858333333,26.9256666667,J074726.40+265532.4,-,--,--,--,4522,0.015085,SN,--,65.4064053799,<20051125.5,<2453664.5,2,<2453699.85,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<18.1,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-0.428,-0.408,2453699.852,--,--,,0.8,--,40.7623576153919,--,--,0.0378,0.044,--,--,--,-,-,-,-,-,-,34,-7215.3,1807.6,37,-7467.2,1799.1,,-,-,,; from my notes/IAUC: max at 2453664.5      @16.5 but can't find records.
*=NIR DM,sn2005kl,1,Y,Ic,Y,0,12:24:35,+39:23:03.5,186.145833333,39.3843055556,NGC4369,-,18.9,1.663,1.597,1045,0.003486,NED*,--,15.0143895015,20051129,2453703.5,1,2453703.66,0.56,-0.160000000149012,<0000000,<0000000,53704.24,1.65,<0000000,<0000000,16.8,CfA,,,,,,,,,16.83,0.03,-,-,-,-,16.07,0.01,15.39,0.02,13.78,0.04,13.34,0.12,12.97,0.09,-0.816,-1.234,--,--,--,,0.96,0.96031268791341,19.6055978155369,19.5400505399764,--,0.0219,0.0255,--,--,0.088832391563325,-,-,-,-,-,-,-4,-10264.7,1250.2,-,-,-,-7716.4341,-,-,4.80519292279,"; dm15=0.53-0.89 ,~0.8 -depending on jdmax=720-745;  8A=EW of NaID -> E_BV=2mag IAUC: 14.6mag  2453705.0 **GLC"
*=nospec,sn2005kz,2,?,Ic,0,0,19:00:49,50:53:01,,,MCG+08-34-32,18.26,,,,8107,0.027,NED*,,,<00000000,<2453710.562,,2453712.94,0.36,,53710.58,0.76,<0000000,<0000000,<0000000,<0000000,<18.64,CfA,,,,,,,,,18.61,0.05,-,-,19.85,0.29,-,-,18.34,0.06,,-,,-,-,-,,,2453710.566,,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,0.76755080705,
*=,sn2005la,2,N,Ib-n/IIb-n,0,0,12:52:15,+27:31:52.5,193.0625,27.53125,KUG1249+278,-,--,0.473,0.237,5570,0.001858,SN,76,8.01248502445,R=20051120.0,2453694.5,2,<2453711.02,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,17.2,P08a,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,--,--,D11/D11,0.733,0.501057082452431,46.9692123405838,65.0399448427673,0.011,0.01,0.0116,0.011,>,0.295682646045843,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;+- 1.5 for max - in Rband
*=NIR DM,sn2005mf,1,Y,Ic,Y,0,9:08:42,+44:48:51.4,137.175,44.8142777778,UGC04798,-,38.2,0.863,0.587,8023,0.018913,NED,113,82.230639969,20051230.5,2453735.5,1,2453734.56,0.14,0.939999999944121,<0000000,<0000000,53736.1,0.47,<0000000,<0000000,18.08,CfA,,,,,,,,,18.07,0.02,-,-,-,-,17.93,0.02,18.16,0.03,17.41,0.03,17.27,0.05,16.93,0.11,-0.642,-0.694,--,30,"(+12,-30)",D11/D11,0.724,0.68018539976825,47.7520800680119,51.4323198473152,0.018,0.0153,0.0178,0.38,0.12,0.233820069520269,7.5,-7940.3,1974.5,-,-,-,-1.5,-11226.8,1833.8,-2.5,-14087.7,1720.1,-8317.5898,-10683.2,-,1.26908663702,dm15=0.83; D11max=736  **GLC
*=,sn2005nb,2,Y,Ic-bl,0,0,12:13:37,+16:07:16.2,183.404166667,16.1211666667,UGC7230,-,--,0.473,0.227,7127,0.023773,NED**,106,103.72786516,<20060111.5,2453747.9,2,<2453746.02,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<17.8,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,55,"(+4,-5)",D11/D11,0.56,0.479915433403806,60.7354828380596,66.562452749756,0.037,0.032,0.0372,0.037,>,0.302604225817358,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,0.880846676516,;D11nomax
,sn2005U,0,?,IIb,0,0,11:28:33,+58:33:42.5,172.1375,58.5618055556,Arp299,-,--,2.691,1.995,3021,0.010076,SN,--,43.5362708275,<00000000,<00000000,-99,<0000000,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,99.9,NA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,--,--,--,--,0.741360089186176,--,46.2326496663187,--,0.0143,0.0167,--,--,0.210181484933528,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;
*=,sn2006aj,1,N,Ic-bl,Y,Y,3:21:39,+16:52:02.6,50.4125,16.8673888889,J032139.68+165201.7,-,--,--,--,10052,0.033532,SN/M06,--,147.355676478,20060228.2,2453794.7,1,2453794.7,0.59,0,53792.68,0.07,53794.61,1.18,<0000000,<0000000,17.45,M06,,,,,,,,,17.51,0.02,17.99,0.06,18.06,0.03,17.44,0.05,17.45,0.02,16.95,0.12,16.7,0.13,16.39,0.11,-,-,--,--,--,--,--,--,--,--,--,0.1267,0.1473,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1.97968446631,;JDBurst=2453784.6 ->DONE
*nospec,sn2006ba,2,?,IIb,0,0,9:43:13,-9:36:53,145.804166667,9.61472222222,NGC2980,22.47,--,--,--,5764.71,0.019229,HI,--,--,--,<00000000,--,--,--,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,--,--,,,,,,,,,-,-,-,-,-,-,-,-,17.67,0.05,,-,,-,-,-,--,--,2453827.715,--,--,--,--,--,--,--,--,0.0452,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,,
*nospec,sn2006bf,2,?,IIb,0,0,12:58:50,9:39:30,194.708333333,9.65833333333,UGC8093,15.81,--,--,--,7115,0.023,UZC,--,--,--,<00000000,--,--,--,--,<0000000,<0000000,53827.53,0.27,<0000000,<0000000,--,--,,,,,,,,,-,-,-,-,-,-,18.71,0.03,-,-,,-,,-,-,-,--,--,2453827.891,--,--,--,--,--,--,--,--,0.0216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,,
*nospec,sn2006cb,3,?,Ib,0,0,14:16:31,39:35:15,214.129166667,39.5875,NGC5541,5.73,--,--,--,7708,0.02571,UZC,--,--,--,<00000000,--,--,--,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,--,--,,,,,,,,,-,-,-,-,-,-,-,-,18.23,0.04,,-,,-,-,-,--,--,--,--,--,--,--,--,--,--,--,0.0094,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,,
*@,sn2006ck,2,N,Ic,0,0,13:09:40,-1:02:57,197.416666667,-1.04916666667,UGC08238,-,59.8,1.237,0.668,7312,0.02439,NED,112,106.467991779,<20060524,<2453879.5,2,<2453879.77,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,<17.5,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-0.573,-0.833,2453879.773,61,"(+5,-7)",D11/D11,0.543,0.540016168148747,61.9885365895417,62.2073723478494,0.028,0.0245,0.0285,0.028,>,0.282805289946623,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,;D11nomax  ;[SpectralDate?]
*=,sn2006el,1,Y,IIb,0,0,22:47:38,+39:52:27.6,341.908333333,39.8743333333,UGC12188,-,--,0.847,0.61,5150,0.017179,NED**,70,74.5977956008,20060904,2453982.5,1,2453984.68,0.1,-2.18000000016764,<0000000,<0000000,53986,0.1,<0000000,<0000000,17.61,D11,,,,,,,,,17.57,0.03,-,-,-,-,17.47,0.02,17.45,0.03,,-,,-,-,-,-0.991,-0.854,--,40,"(+6,-9)",D11/D11,--,0.720188902007084,--,48.0805855471926,0.113,0.0973,0.1131,0.19,0.12,0.21858251559708,-2,-11257.8,1865.4,12,-8169.68,1615.7,-2,-11102.7,1041.1,12,-6791.85,1590.5,-10168.283,-10486.8,-10817.4,1.22263807567,;Drout11 have data before max. use Drout11 date of max!
*=,sn2006ep,1,N,Ib,0,0,0:41:24,+25:29:46.7,10.35,25.4963055556,NGC214,-,--,1.413,1.046,4505,0.015027,UZC,--,65.1522279505,20060909.95,2453988,1,2453988.58,0.1,-0.580000000074506,53984.96,0.23,53990.1,0.11,<0000000,<0000000,17.4,CfA,,,,,,,,,17.4,0.02,-,-,18.07,0.05,17.23,0.02,17.1,0.02,,-,,-,-,-,-0.681,-0.718,--,--,--,--,0.714,0.740268931351734,48.610397436194,46.3293159357838,--,0.031,0.036,--,--,0.210620946227782,-,-,-,-,-,-,-8,-12001.2,1859.3,8.1,-7571.4,1684,,-9800.15,-,2.0930219419,;dm15=0.92
*nospec,sn2006F ,2,?,Ib,0,0,2:28:11,19:36:13,37.0458333333,19.6036111111,NGC09354142,15.3,?,?,?,4142,0.013816,NED,,,20060118.6,2453753.9,-,-,--,#VALUE!,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,18,CfA ,,,,,,,,,-,-,-,-,-,-,-,-,17.47,0.03,,-,,-,-,-,-0.87,-,--,--,--,--,--,-,--,-,--,0.1635,-,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,";D11noVmax, noSPEC mu_virgo=33.79 AV_gal=0.629"
*@,sn2006fo,1,YN,Ib,Y,0,2:32:38,+00:37:03.0,38.1583333333,0.6175,UGC02019,-,48.3,0.617,0.432,6214,0.020727,SDSS*,82,90.236570125,<20060928.4,<2454006.9,1,<2454006.99,--,#VALUE!,<0000000,<0000000,54006.61,0.33,<0000000,<0000000,<17.40,CfA,,,,,,,,,-,-,-,-,-,-,17.32,0.02,17.22,0.02,16.26,0.09,16.39,0.16,17.03,0.15,-0.698,-1.005,2454006.988,34,"(+12,-34)",D11/D11,0.673,0.700162074554295,52.0175932274368,49.7794702401442,0.029,0.025,0.0291,0.029,>,0.226305934221636,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1.29202925467,;D11nomax 
*nospec ,sn2006gi,2,?,Ib,0,0,10:16:46,73:26:26,154.191666667,73.4405555556,NGC 3147,147.09,-,-,-,2780,0.009273,UZC,-,-,<20060928.5   ,<2454007   ,-,-,-,-,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000, <17.89     ,CfA,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,--,-,-,-,-,-,-,-,-,0.0205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,
